Geography,Aggravated Robbery,Financial Year,Count
ZA,Car Hijacking,2011/2012,9417
ZA,Car Hijacking,2012/2013,9931
ZA,Car Hijacking,2013/2014,11180
ZA,Car Hijacking,2014/2015,12773
ZA,Car Hijacking,2015/2016,14602
ZA,Car Hijacking,2016/2017,16717
ZA,Car Hijacking,2017/2018,16325
ZA,Car Hijacking,2018/2019,16026
ZA,Car Hijacking,2019/2020,18162
ZA,Car Hijacking,2020/2021,16731
ZA,Robbery at Residential Premises,2011/2012,16766
ZA,Robbery at Residential Premises,2012/2013,17950
ZA,Robbery at Residential Premises,2013/2014,19284
ZA,Robbery at Residential Premises,2014/2015,20281
ZA,Robbery at Residential Premises,2015/2016,20820
ZA,Robbery at Residential Premises,2016/2017,22343
ZA,Robbery at Residential Premises,2017/2018,22261
ZA,Robbery at Residential Premises,2018/2019,22431
ZA,Robbery at Residential Premises,2019/2020,21130
ZA,Robbery at Residential Premises,2020/2021,20870
ZA,Robbery at Non-Residential Premises,2011/2012,15912
ZA,Robbery at Non-Residential Premises,2012/2013,16343
ZA,Robbery at Non-Residential Premises,2013/2014,18573
ZA,Robbery at Non-Residential Premises,2014/2015,19170
ZA,Robbery at Non-Residential Premises,2015/2016,19698
ZA,Robbery at Non-Residential Premises,2016/2017,20680
ZA,Robbery at Non-Residential Premises,2017/2018,20047
ZA,Robbery at Non-Residential Premises,2018/2019,19991
ZA,Robbery at Non-Residential Premises,2019/2020,20651
ZA,Robbery at Non-Residential Premises,2020/2021,18231
ZA,Robbery of Cash in Transit,2011/2012,182
ZA,Robbery of Cash in Transit,2012/2013,145
ZA,Robbery of Cash in Transit,2013/2014,145
ZA,Robbery of Cash in Transit,2014/2015,119
ZA,Robbery of Cash in Transit,2015/2016,137
ZA,Robbery of Cash in Transit,2016/2017,152
ZA,Robbery of Cash in Transit,2017/2018,238
ZA,Robbery of Cash in Transit,2018/2019,183
ZA,Robbery of Cash in Transit,2019/2020,164
ZA,Robbery of Cash in Transit,2020/2021,195
ZA,Bank Robbery,2011/2012,35
ZA,Bank Robbery,2012/2013,7
ZA,Bank Robbery,2013/2014,21
ZA,Bank Robbery,2014/2015,17
ZA,Bank Robbery,2015/2016,6
ZA,Bank Robbery,2016/2017,3
ZA,Bank Robbery,2017/2018,13
ZA,Bank Robbery,2018/2019,4
ZA,Bank Robbery,2019/2020,0
ZA,Bank Robbery,2020/2021,2
ZA,Truck Hijacking,2011/2012,821
ZA,Truck Hijacking,2012/2013,943
ZA,Truck Hijacking,2013/2014,991
ZA,Truck Hijacking,2014/2015,1279
ZA,Truck Hijacking,2015/2016,1184
ZA,Truck Hijacking,2016/2017,1183
ZA,Truck Hijacking,2017/2018,1202
ZA,Truck Hijacking,2018/2019,1182
ZA,Truck Hijacking,2019/2020,1202
ZA,Truck Hijacking,2020/2021,1397
ZA,Other,2011/2012,57636
ZA,Other,2012/2013,60169
ZA,Other,2013/2014,68769
ZA,Other,2014/2015,75406
ZA,Other,2015/2016,76080
ZA,Other,2016/2017,79878
ZA,Other,2017/2018,78278
ZA,Other,2018/2019,80215
ZA,Other,2019/2020,82681
ZA,Other,2020/2021,62415
EC,Car Hijacking,2011/2012,636
EC,Car Hijacking,2012/2013,694
EC,Car Hijacking,2013/2014,773
EC,Car Hijacking,2014/2015,769
EC,Car Hijacking,2015/2016,956
EC,Car Hijacking,2016/2017,955
EC,Car Hijacking,2017/2018,999
EC,Car Hijacking,2018/2019,1048
EC,Car Hijacking,2019/2020,1111
EC,Car Hijacking,2020/2021,996
EC,Robbery at Residential Premises,2011/2012,1747
EC,Robbery at Residential Premises,2012/2013,1726
EC,Robbery at Residential Premises,2013/2014,1924
EC,Robbery at Residential Premises,2014/2015,1811
EC,Robbery at Residential Premises,2015/2016,2054
EC,Robbery at Residential Premises,2016/2017,2171
EC,Robbery at Residential Premises,2017/2018,2184
EC,Robbery at Residential Premises,2018/2019,2188
EC,Robbery at Residential Premises,2019/2020,2120
EC,Robbery at Residential Premises,2020/2021,2101
EC,Robbery at Non-Residential Premises,2011/2012,2167
EC,Robbery at Non-Residential Premises,2012/2013,1940
EC,Robbery at Non-Residential Premises,2013/2014,2441
EC,Robbery at Non-Residential Premises,2014/2015,2474
EC,Robbery at Non-Residential Premises,2015/2016,2218
EC,Robbery at Non-Residential Premises,2016/2017,2369
EC,Robbery at Non-Residential Premises,2017/2018,2395
EC,Robbery at Non-Residential Premises,2018/2019,2373
EC,Robbery at Non-Residential Premises,2019/2020,2382
EC,Robbery at Non-Residential Premises,2020/2021,1954
EC,Robbery of Cash in Transit,2011/2012,12
EC,Robbery of Cash in Transit,2012/2013,16
EC,Robbery of Cash in Transit,2013/2014,8
EC,Robbery of Cash in Transit,2014/2015,10
EC,Robbery of Cash in Transit,2015/2016,19
EC,Robbery of Cash in Transit,2016/2017,11
EC,Robbery of Cash in Transit,2017/2018,23
EC,Robbery of Cash in Transit,2018/2019,46
EC,Robbery of Cash in Transit,2019/2020,21
EC,Robbery of Cash in Transit,2020/2021,32
EC,Bank Robbery,2011/2012,6
EC,Bank Robbery,2012/2013,1
EC,Bank Robbery,2013/2014,5
EC,Bank Robbery,2014/2015,0
EC,Bank Robbery,2015/2016,0
EC,Bank Robbery,2016/2017,1
EC,Bank Robbery,2017/2018,0
EC,Bank Robbery,2018/2019,1
EC,Bank Robbery,2019/2020,0
EC,Bank Robbery,2020/2021,1
EC,Truck Hijacking,2011/2012,29
EC,Truck Hijacking,2012/2013,15
EC,Truck Hijacking,2013/2014,31
EC,Truck Hijacking,2014/2015,34
EC,Truck Hijacking,2015/2016,54
EC,Truck Hijacking,2016/2017,82
EC,Truck Hijacking,2017/2018,92
EC,Truck Hijacking,2018/2019,110
EC,Truck Hijacking,2019/2020,124
EC,Truck Hijacking,2020/2021,159
EC,Other,2011/2012,7879
EC,Other,2012/2013,7359
EC,Other,2013/2014,8261
EC,Other,2014/2015,8147
EC,Other,2015/2016,7476
EC,Other,2016/2017,8099
EC,Other,2017/2018,7792
EC,Other,2018/2019,7812
EC,Other,2019/2020,8225
EC,Other,2020/2021,6215
FS,Car Hijacking,2011/2012,281
FS,Car Hijacking,2012/2013,279
FS,Car Hijacking,2013/2014,255
FS,Car Hijacking,2014/2015,270
FS,Car Hijacking,2015/2016,258
FS,Car Hijacking,2016/2017,234
FS,Car Hijacking,2017/2018,235
FS,Car Hijacking,2018/2019,236
FS,Car Hijacking,2019/2020,241
FS,Car Hijacking,2020/2021,199
FS,Robbery at Residential Premises,2011/2012,662
FS,Robbery at Residential Premises,2012/2013,835
FS,Robbery at Residential Premises,2013/2014,753
FS,Robbery at Residential Premises,2014/2015,718
FS,Robbery at Residential Premises,2015/2016,773
FS,Robbery at Residential Premises,2016/2017,875
FS,Robbery at Residential Premises,2017/2018,864
FS,Robbery at Residential Premises,2018/2019,851
FS,Robbery at Residential Premises,2019/2020,725
FS,Robbery at Residential Premises,2020/2021,710
FS,Robbery at Non-Residential Premises,2011/2012,1103
FS,Robbery at Non-Residential Premises,2012/2013,1146
FS,Robbery at Non-Residential Premises,2013/2014,989
FS,Robbery at Non-Residential Premises,2014/2015,852
FS,Robbery at Non-Residential Premises,2015/2016,756
FS,Robbery at Non-Residential Premises,2016/2017,973
FS,Robbery at Non-Residential Premises,2017/2018,886
FS,Robbery at Non-Residential Premises,2018/2019,955
FS,Robbery at Non-Residential Premises,2019/2020,876
FS,Robbery at Non-Residential Premises,2020/2021,796
FS,Robbery of Cash in Transit,2011/2012,12
FS,Robbery of Cash in Transit,2012/2013,8
FS,Robbery of Cash in Transit,2013/2014,4
FS,Robbery of Cash in Transit,2014/2015,9
FS,Robbery of Cash in Transit,2015/2016,5
FS,Robbery of Cash in Transit,2016/2017,12
FS,Robbery of Cash in Transit,2017/2018,18
FS,Robbery of Cash in Transit,2018/2019,8
FS,Robbery of Cash in Transit,2019/2020,12
FS,Robbery of Cash in Transit,2020/2021,2
FS,Bank Robbery,2011/2012,2
FS,Bank Robbery,2012/2013,0
FS,Bank Robbery,2013/2014,3
FS,Bank Robbery,2014/2015,2
FS,Bank Robbery,2015/2016,0
FS,Bank Robbery,2016/2017,0
FS,Bank Robbery,2017/2018,2
FS,Bank Robbery,2018/2019,0
FS,Bank Robbery,2019/2020,0
FS,Bank Robbery,2020/2021,0
FS,Truck Hijacking,2011/2012,54
FS,Truck Hijacking,2012/2013,82
FS,Truck Hijacking,2013/2014,71
FS,Truck Hijacking,2014/2015,89
FS,Truck Hijacking,2015/2016,65
FS,Truck Hijacking,2016/2017,41
FS,Truck Hijacking,2017/2018,32
FS,Truck Hijacking,2018/2019,39
FS,Truck Hijacking,2019/2020,44
FS,Truck Hijacking,2020/2021,45
FS,Other,2011/2012,3209
FS,Other,2012/2013,3441
FS,Other,2013/2014,3272
FS,Other,2014/2015,3299
FS,Other,2015/2016,2921
FS,Other,2016/2017,3012
FS,Other,2017/2018,2995
FS,Other,2018/2019,3250
FS,Other,2019/2020,3221
FS,Other,2020/2021,2240
GT,Car Hijacking,2011/2012,4983
GT,Car Hijacking,2012/2013,4934
GT,Car Hijacking,2013/2014,6056
GT,Car Hijacking,2014/2015,6867
